iterations,fitness,time,fevals
0,21.0,0.083512798,1000
10,29.0,0.156367542,2100
20,31.0,0.219812885,3200
30,36.0,0.275793487,4300
40,34.0,0.338890496,5400
50,35.0,0.393347041,6500
60,37.0,0.445621746,7600
70,36.0,0.50124573,8700
80,36.0,0.557988592,9800
90,40.0,0.613812356,10900
100,36.0,0.665411686,12000
110,36.0,0.716966361,13100
120,38.0,0.76776324,14200
130,39.0,0.822992254,15300
140,39.0,0.877919478,16400
150,42.0,0.934015074,17500
160,44.0,0.991846354,18600
170,44.0,1.049362101,19700
180,46.0,1.10530587,20800
190,48.0,1.156751904,21900
200,49.0,1.210084941,23000
210,47.0,1.266209042,24100
220,46.0,1.317793967,25200
230,47.0,1.368438124,26300
240,46.0,1.420206362,27400
250,46.0,1.474954419,28500
260,46.0,1.525576654,29600
270,45.0,1.575740355,30700
280,46.0,1.627438615,31800
290,47.0,1.68306072,32900
300,46.0,1.736442235,34000
310,47.0,1.790910316,35100
320,46.0,1.847322037,36200
330,46.0,1.902274496,37300
340,46.0,1.955123265,38400
350,46.0,2.006299174,39500
360,47.0,2.05766537,40600
370,46.0,2.111062248,41700
380,48.0,2.163695453,42800
390,45.0,2.214877523,43900
400,46.0,2.267602643,45000
410,47.0,2.323750529,46100
420,50.0,2.377144447,47200
430,47.0,2.428918534,48300
440,47.0,2.482766208,49400
450,47.0,2.539351897,50500
460,47.0,2.59010285,51600
470,48.0,2.646184402,52700
480,47.0,2.701410439,53800
490,47.0,2.75953268,54900
500,47.0,2.813988246,56000
510,47.0,2.865573217,57100
520,47.0,2.915472073,58200
530,47.0,2.967173201,59300
540,46.0,3.017683662,60400
550,46.0,3.068434247,61500
560,47.0,3.117976779,62600
570,47.0,3.168712902,63700
580,46.0,3.222478868,64800
590,47.0,3.273858984,65900
600,47.0,3.326511377,67000
610,48.0,3.377824426,68100
620,47.0,3.428882361,69200
630,47.0,3.48062572,70300
640,47.0,3.534795465,71400
650,47.0,3.588884979,72500
660,47.0,3.6449989,73600
670,46.0,3.698213225,74700
680,47.0,3.749875917,75800
690,48.0,3.801480763,76900
700,48.0,3.85463296,78000
710,49.0,3.907543318,79100
720,47.0,3.95819598,80200
730,48.0,4.009262498,81300
740,47.0,4.062315655,82400
750,48.0,4.113166658,83500
760,51.0,4.166044281,84600
770,54.0,4.218886431,85700
780,50.0,4.270550752,86800
790,52.0,4.322123692,87900
800,49.0,4.370755952,89000
810,50.0,4.419490295,90100
820,50.0,4.472052707,91200
830,50.0,4.522394844,92300
840,50.0,4.570461042,93400
850,50.0,4.619601208,94500
860,49.0,4.670286668,95600
870,50.0,4.719702945,96700
880,51.0,4.768376758,97800
890,50.0,4.816945166,98900
900,53.0,4.866889484,100000
910,49.0,4.916139502,101100
920,50.0,4.96646981,102200
930,51.0,5.019575677,103300
940,53.0,5.069386796,104400
950,49.0,5.120164373,105500
960,49.0,5.170172271,106600
970,50.0,5.224674532,107700
980,50.0,5.277304598,108800
990,50.0,5.334766552,109900
1000,51.0,5.386824852,111000
1010,50.0,5.439676042,112100
1020,49.0,5.492200744,113200
1030,56.0,5.54228465,114300
1040,50.0,5.590838996,115400
1050,50.0,5.639832425,116500
1060,55.0,5.688312069,117600
1070,50.0,5.738184447,118700
1080,51.0,5.788420023,119800
1090,55.0,5.839379065,120900
1100,55.0,5.892683032,122000
1110,55.0,5.950509881,123100
1120,57.0,6.001709312,124200
1130,56.0,6.057472833,125300
1140,59.0,6.110136626,126400
1150,56.0,6.166868391,127500
1160,56.0,6.218193222,128600
1170,55.0,6.271239138,129700
1180,52.0,6.323468116,130800
1190,57.0,6.37659396,131900
1200,55.0,6.428289365,133000
1210,55.0,6.48044356,134100
1220,57.0,6.53159576,135200
1230,58.0,6.589057353,136300
1240,57.0,6.641074115,137400
1250,54.0,6.692157382,138500
1260,54.0,6.741927725,139600
1270,56.0,6.793813374,140700
1280,57.0,6.847142629,141800
1290,58.0,6.900033346,142900
1300,57.0,6.95530534,144000
1310,56.0,7.008216652,145100
1320,56.0,7.060299991,146200
1330,55.0,7.109790227,147300
1340,55.0,7.161027335,148400
1350,53.0,7.212219414,149500
1360,57.0,7.262175873,150600
1370,56.0,7.312693014,151700
1380,54.0,7.364178858,152800
1390,55.0,7.420024555,153900
1400,54.0,7.482419916,155000
1410,56.0,7.53403936,156100
1420,55.0,7.583921693,157200
1430,56.0,7.636863,158300
1440,55.0,7.696651627,159400
1450,56.0,7.746669765,160500
1460,57.0,7.796403159,161600
1470,56.0,7.847443043,162700
1480,55.0,7.902369338,163800
1490,57.0,7.954463932,164900
1500,56.0,8.005644978,166000
1510,58.0,8.054682361,167100
1520,56.0,8.106088005,168200
1530,56.0,8.155558107,169300
1540,57.0,8.20409267,170400
1550,56.0,8.254228996,171500
1560,57.0,8.309573435,172600
1570,56.0,8.36046421,173700
1580,57.0,8.410159831,174800
1590,56.0,8.459864378,175900
1600,56.0,8.509804855,177000
1610,56.0,8.558633266,178100
1620,56.0,8.609981678,179200
1630,57.0,8.660880209,180300
1640,57.0,8.714694174,181400
1650,56.0,8.763678405,182500
1660,57.0,8.812629527,183600
1670,56.0,8.863022915,184700
1680,56.0,8.922026026,185800
1690,58.0,8.974026207,186900
1700,56.0,9.028746276,188000
1710,56.0,9.082848353,189100
1720,57.0,9.143350208,190200
1730,57.0,9.198407835,191300
1740,56.0,9.252121922,192400
1750,58.0,9.301546183,193500
1760,56.0,9.351953216,194600
1770,56.0,9.401779192,195700
1780,56.0,9.452344871,196800
1790,57.0,9.5009374,197900
1800,56.0,9.550342262,199000
1810,56.0,9.604993737,200100
1820,56.0,9.654351034,201200
1830,58.0,9.704020225,202300
1840,57.0,9.754401642,203400
1850,56.0,9.811898812,204500
1860,58.0,9.861380457,205600
1870,56.0,9.91170069,206700
1880,56.0,9.961257627,207800
1890,59.0,10.013173648,208900
1900,56.0,10.064013199,210000
1910,56.0,10.113940368,211100
1920,56.0,10.165470692,212200
1930,57.0,10.224370462,213300
1940,56.0,10.278237887,214400
1950,58.0,10.337475783,215500
1960,57.0,10.411564822,216600
1970,57.0,10.467353706,217700
1980,57.0,10.525854093,218800
1990,57.0,10.578958384,219900
2000,57.0,10.639275465,221000
2010,56.0,10.702276212,222100
2020,57.0,10.76935371,223200
2030,57.0,10.828216996,224300
2040,57.0,10.883510878,225400
2050,56.0,10.943927221,226500
2060,57.0,11.001947117,227600
2070,57.0,11.056074165,228700
2080,57.0,11.1151261,229800
2090,58.0,11.176849653,230900
2100,58.0,11.237225317,232000
2110,58.0,11.296273818,233100
2120,58.0,11.363510385,234200
2130,58.0,11.425815978,235300
2140,58.0,11.48473432,236400
2150,59.0,11.537335833,237500
2160,58.0,11.593998164,238600
2170,59.0,11.652712363,239700
2180,60.0,11.710703494,240800
2190,58.0,11.769530855,241900
2200,58.0,11.828435219,243000
2210,58.0,11.891557069,244100
2220,59.0,11.954731687,245200
2230,58.0,12.008261184,246300
2240,58.0,12.066540359,247400
2250,58.0,12.128513816,248500
2260,58.0,12.182366928,249600
2270,58.0,12.237484332,250700
2280,58.0,12.292150536,251800
2290,58.0,12.343409032,252900
2300,59.0,12.398814054,254000
2310,58.0,12.450978084,255100
2320,58.0,12.498999618,256200
2330,58.0,12.550776252,257300
2340,58.0,12.602413757,258400
2350,58.0,12.651144051,259500
2360,58.0,12.701211037,260600
2370,59.0,12.752349052,261700
2380,60.0,12.811701861,262800
2390,59.0,12.866795134,263900
2400,59.0,12.920092987,265000
2410,60.0,12.974951034,266100
2420,60.0,13.029312621,267200
2430,60.0,13.088627754,268300
2440,60.0,13.141659353,269400
2450,60.0,13.192575489,270500
2460,61.0,13.244185006,271600
2470,61.0,13.294199615,272700
2480,62.0,13.344704541,273800
2490,60.0,13.39615955,274900
2500,61.0,13.447523486,276000
2510,59.0,13.495208851,277100
2520,60.0,13.545058073,278200
2530,59.0,13.599086307,279300
2540,59.0,13.656639463,280400
2550,59.0,13.715237368,281500
2560,61.0,13.773925073,282600
2570,59.0,13.827059085,283700
2580,59.0,13.880594874,284800
2590,60.0,13.929163969,285900
2600,59.0,13.979191388,287000
2610,59.0,14.026814728,288100
2620,60.0,14.078371523,289200
2630,59.0,14.131387048,290300
2640,60.0,14.183763518,291400
2650,58.0,14.233455757,292500
2660,60.0,14.28439692,293600
2670,59.0,14.335143272,294700
2680,59.0,14.382766112,295800
2690,59.0,14.43280463,296900
2700,60.0,14.481296612,298000
2710,60.0,14.532822665,299100
2720,59.0,14.582574012,300200
2730,59.0,14.631128241,301300
2740,58.0,14.680510256,302400
2750,59.0,14.730358997,303500
2760,59.0,14.778719238,304600
2770,59.0,14.828415076,305700
2780,59.0,14.882886249,306800
2790,59.0,14.935251366,307900
2800,59.0,14.984726117,309000
2810,60.0,15.034986193,310100
2820,59.0,15.084882589,311200
2830,59.0,15.135306886,312300
2840,60.0,15.185194474,313400
2850,59.0,15.238813524,314500
2860,59.0,15.292184131,315600
2870,59.0,15.349507492,316700
2880,60.0,15.402914827,317800
2890,60.0,15.458116158,318900
2900,60.0,15.509032569,320000
2910,60.0,15.560946339,321100
2920,60.0,15.615092556,322200
2930,59.0,15.665177731,323300
2940,59.0,15.716222553,324400
2950,60.0,15.766339026,325500
2960,60.0,15.817118244,326600
2970,59.0,15.866682787,327700
2980,59.0,15.915006909,328800
2990,59.0,15.968607265,329900
3000,59.0,16.021089849,331000
3010,59.0,16.073482674,332100
3020,60.0,16.122356054,333200
3030,60.0,16.170802976,334300
3040,60.0,16.22043797,335400
3050,60.0,16.272192084,336500
3060,60.0,16.323658281,337600
3070,60.0,16.377813632,338700
3080,62.0,16.436239496,339800
3090,60.0,16.48751653,340900
3100,60.0,16.53856632,342000
3110,60.0,16.587939485,343100
3120,60.0,16.637278828,344200
3130,60.0,16.688863616,345300
3140,60.0,16.737696948,346400
3150,61.0,16.78680632,347500
3160,60.0,16.836822929,348600
3170,60.0,16.886208306,349700
3180,61.0,16.939964713,350800
3190,61.0,16.991540965,351900
3200,60.0,17.04800416,353000
3210,61.0,17.100640283,354100
3220,61.0,17.151384663,355200
3230,60.0,17.201256251,356300
3240,61.0,17.253954343,357400
3250,61.0,17.3033075,358500
3260,61.0,17.351723978,359600
3270,61.0,17.400447481,360700
3280,61.0,17.451121221,361800
3290,61.0,17.502445291,362900
3300,60.0,17.551146252,364000
3310,60.0,17.599603308,365100
3320,60.0,17.649238285,366200
3330,60.0,17.698393549,367300
3340,62.0,17.749264514,368400
3350,61.0,17.797210861,369500
3360,61.0,17.856566313,370600
