iterations,fitness,time,fevals
0,536.0,0.001880971,285
10,523.0,0.003548617,471
20,523.0,0.005214552,656
30,521.0,0.006779055,838
40,525.0,0.008292971,1023
50,523.0,0.00976971799999,1211
60,525.0,0.01109059,1395
70,522.0,0.012444269,1581
80,539.0,0.013783381,1767
90,541.0,0.016467673,1961
100,543.0,0.019797515,2149
110,543.0,0.021729578,2334
120,543.0,0.023078625,2522
130,543.0,0.024398669,2710
140,547.0,0.025761581,2898
150,545.0,0.028753649,3088
160,545.0,0.031957307,3277
170,549.0,0.034460069,3469
180,549.0,0.035816045,3657
190,551.0,0.037169262,3845
200,551.0,0.03847433,4032
210,551.0,0.039843072,4217
220,553.0,0.041159765,4407
230,553.0,0.042545929,4593
240,553.0,0.043984591,4780
250,555.0,0.047359075,4964
260,555.0,0.049551971,5146
270,553.0,0.050842118,5322
280,551.0,0.052205864,5514
290,553.0,0.053499271,5699
300,549.0,0.054793064,5878
310,553.0,0.056121703,6062
320,555.0,0.057476202,6250
330,553.0,0.059234433,6433
340,553.0,0.061174204,6617
350,553.0,0.062419722,6799
360,553.0,0.0636092819999,6975
370,553.0,0.0650074039999,7157
380,555.0,0.0663675989999,7344
390,555.0,0.0677299689999,7529
400,555.0,0.0691903379999,7713
410,555.0,0.070519124,7898
420,557.0,0.0718455079999,8074
430,557.0,0.0744202539999,8262
440,558.0,0.0772693289999,8452
450,559.0,0.0785146059999,8640
460,557.0,0.0798013249999,8821
470,559.0,0.0826905109999,9012
480,557.0,0.0840389839999,9193
490,551.0,0.085666578,9369
500,555.0,0.087624253,9555
510,553.0,0.088881598,9737
520,553.0,0.09010559,9920
530,553.0,0.091332649,10111
540,553.0,0.092659507,10297
550,553.0,0.093943232,10475
560,555.0,0.095286651,10660
570,553.0,0.096461974,10849
580,551.0,0.097817678,11031
590,551.0,0.099012811,11217
600,553.0,0.100358129,11401
610,555.0,0.102895577,11588
620,559.0,0.105963741,11775
630,553.0,0.107606716,11962
640,555.0,0.109630264,12144
650,557.0,0.110981338,12332
660,553.0,0.112334168,12514
670,553.0,0.113628861,12706
680,553.0,0.11502235,12900
690,551.0,0.11726628,13087
700,553.0,0.119094736,13267
710,553.0,0.120710365,13452
720,553.0,0.124041548,13638
730,553.0,0.126822732,13825
740,553.0,0.129040254,14011
750,553.0,0.130234566,14199
760,549.0,0.131483443,14386
770,551.0,0.132694498,14575
780,557.0,0.133857376,14759
790,555.0,0.136548121,14948
800,553.0,0.137765718,15131
810,557.0,0.138992316,15318
820,557.0,0.140334748,15502
830,555.0,0.141699685,15691
840,555.0,0.143052277,15881
850,555.0,0.144394211,16068
860,553.0,0.145931469,16254
870,555.0,0.149365858,16441
880,553.0,0.152578203,16628
890,553.0,0.155697239,16817
900,553.0,0.157075138,17005
910,555.0,0.158343241,17189
920,555.0,0.159501525,17373
930,557.0,0.160826492,17559
940,557.0,0.162137061,17750
950,553.0,0.163429921,17935
960,555.0,0.16466082,18114
970,555.0,0.165832828,18300
980,555.0,0.167168158,18485
990,555.0,0.168492785,18671
1000,557.0,0.169861374,18853
1010,549.0,0.171284628,19040
1020,551.0,0.172606543,19227
1030,551.0,0.17443151,19419
1040,551.0,0.17801674,19603
1050,551.0,0.181354771,19785
1060,551.0,0.184689193,19969
1070,551.0,0.186045822,20161
1080,553.0,0.187268925,20351
1090,551.0,0.188471585,20536
