iterations,fitness,time,fevals
0,555.0,10.219072901,1000
10,597.0,20.425363199,2100
20,625.0,30.567101317,3200
30,651.0,39.648563416,4300
40,687.0,49.473163028,5400
50,709.0,58.585039559,6500
60,713.0,67.710573449,7600
70,735.0,75.963108808,8700
80,735.0,84.695932249,9800
90,759.0,93.179949514,10900
100,751.0,101.116871138,12000
110,755.0,109.334229823,13100
120,763.0,117.012680609,14200
130,767.0,124.571010378,15300
140,763.0,132.736414763,16400
150,767.0,141.024129272,17500
160,769.0,148.705945629,18600
170,765.0,157.722469184,19700
180,771.0,166.335831104,20800
190,769.0,174.383904659,21900
200,765.0,182.204789451,23000
210,765.0,190.353134142,24100
220,767.0,197.948200573,25200
230,765.0,205.523217078,26300
240,763.0,213.226870819,27400
250,763.0,220.944310137,28500
260,767.0,228.485720268,29600
270,775.0,236.269641728,30700
280,763.0,243.751235468,31800
290,763.0,251.308689657,32900
300,769.0,258.866816013,34000
310,771.0,266.583599943,35100
320,773.0,274.157192965,36200
330,761.0,281.755045848,37300
340,769.0,289.35481135,38400
350,773.0,297.521022416,39500
360,773.0,305.331300626,40600
370,771.0,313.124269243,41700
380,773.0,320.738452621,42800
390,765.0,328.548102622,43900
400,767.0,336.324249438,45000
410,773.0,343.732809761,46100
420,767.0,351.202861317,47200
430,771.0,358.7773043,48300
440,771.0,366.558470378,49400
450,777.0,374.064270471,50500
460,779.0,381.687892473,51600
470,777.0,389.260279519,52700
480,775.0,396.786464772,53800
490,777.0,404.412475434,54900
500,773.0,412.178605574,56000
510,779.0,419.638069045,57100
520,785.0,427.219455211,58200
530,781.0,434.700914733,59300
540,777.0,442.086623079,60400
550,773.0,449.573882115,61500
560,779.0,457.051131626,62600
570,781.0,464.513197629,63700
580,779.0,472.042009351,64800
590,783.0,479.513006037,65900
600,771.0,487.008140498,67000
610,781.0,494.402156203,68100
620,779.0,501.710674638,69200
630,779.0,509.108448156,70300
640,777.0,516.461532415,71400
650,777.0,523.867378565,72500
660,775.0,531.484537502,73600
670,781.0,539.094884886,74700
680,777.0,546.698951551,75800
690,781.0,554.223631513,76900
700,781.0,561.985476169,78000
710,775.0,569.513753817,79100
720,787.0,577.077617227,80200
730,775.0,584.81486472,81300
740,775.0,593.840239748,82400
750,781.0,601.456349045,83500
760,773.0,609.125524901,84600
770,787.0,616.766894898,85700
780,777.0,624.450394779,86800
790,777.0,632.086251613,87900
800,783.0,639.683532818,89000
810,783.0,647.258991972,90100
820,779.0,654.98108976,91200
830,781.0,662.465051073,92300
840,783.0,670.063005218,93400
850,787.0,677.814486408,94500
860,781.0,685.389908137,95600
870,779.0,693.034479799,96700
880,781.0,700.505205233,97800
890,783.0,708.015855244,98900
900,783.0,715.834152432,100000
910,785.0,723.919734451,101100
920,787.0,732.12264988,102200
930,791.0,740.296302015,103300
940,785.0,748.322204308,104400
950,789.0,756.37857888,105500
960,791.0,764.508162527,106600
970,787.0,772.591059686,107700
980,791.0,780.191917528,108800
990,789.0,787.880957705,109900
1000,793.0,795.477434379,111000
1010,787.0,803.089118102,112100
1020,787.0,810.861666233,113200
1030,793.0,820.041427617,114300
1040,789.0,828.872282572,115400
1050,795.0,836.931676318,116500
1060,791.0,845.390583109,117600
