iterations,fitness,time,fevals
0,508.0,4.5126e-05,11
10,512.0,8.5308e-05,21
20,508.0,0.00011926,31
30,508.0,0.000157011,41
40,502.0,0.00019254,51
50,498.0,0.000230427,61
60,498.0,0.00026587,71
70,498.0,0.000304757,81
80,500.0,0.000338707,91
90,502.0,0.000394956,101
100,506.0,0.000434984,111
110,508.0,0.000475206,121
120,514.0,0.000514832,131
130,514.0,0.000553163,141
140,518.0,0.000595044,151
150,518.0,0.00063241,161
160,524.0,0.000706542,171
170,526.0,0.001901208,181
180,528.0,0.00192914,191
190,530.0,0.001962166,201
200,534.0,0.001999212,211
210,538.0,0.002024042,221
220,538.0,0.002050917,231
230,538.0,0.002155939,241
240,538.0,0.002224532,251
250,546.0,0.002285909,261
260,550.0,0.002347146,271
270,558.0,0.002376582,281
280,560.0,0.002404103,291
290,560.0,0.002489545,301
300,562.0,0.002523775,311
310,562.0,0.002547528,321
320,564.0,0.002572948,331
330,564.0,0.002594123,341
340,568.0,0.002617325,351
350,568.0,0.002640249,361
360,570.0,0.00266168,371
370,570.0,0.002682757,381
380,572.0,0.002702289,391
390,572.0,0.002722007,401
400,574.0,0.002751712,411
410,576.0,0.002773137,421
420,578.0,0.002794226,431
430,578.0,0.002816289,441
440,580.0,0.002837813,451
450,582.0,0.002859205,461
460,584.0,0.002880802,471
470,584.0,0.002901654,481
480,586.0,0.002922247,491
490,586.0,0.002944186,501
500,588.0,0.002965298,511
510,588.0,0.003003503,521
520,588.0,0.003024993,531
530,590.0,0.003045183,541
540,592.0,0.003067189,551
550,594.0,0.003087044,561
560,594.0,0.003110773,571
570,596.0,0.003131065,581
580,596.0,0.003150969,591
590,596.0,0.003172145,601
600,598.0,0.00319342,611
610,602.0,0.003223419,621
620,602.0,0.003245243,631
630,604.0,0.003265682,641
640,604.0,0.003285835,651
650,606.0,0.003306905,661
660,610.0,0.003329656,671
670,610.0,0.003352237,681
680,612.0,0.003373106,691
690,616.0,0.003396006,701
700,620.0,0.003416456,711
710,622.0,0.003438447,721
720,622.0,0.003468276,731
730,622.0,0.003490459,741
740,622.0,0.003510751,751
750,624.0,0.003534675,761
760,624.0,0.003568433,771
770,626.0,0.003595221,781
780,626.0,0.003617072,791
790,628.0,0.00363827,801
800,630.0,0.003659855,811
810,632.0,0.003682422,821
820,634.0,0.003737673,831
830,634.0,0.003761718,841
840,634.0,0.003784088,851
850,634.0,0.003806982,861
860,636.0,0.003828474,871
870,638.0,0.003851336,881
880,640.0,0.003873877,891
890,644.0,0.00389637,901
900,644.0,0.003916982,911
910,646.0,0.003938326,921
920,646.0,0.003959034,931
930,650.0,0.003988225,941
940,650.0,0.004008977,951
950,652.0,0.004030304,961
960,652.0,0.006437113,971
970,652.0,0.006490257,981
980,654.0,0.006543596,991
990,654.0,0.006583379,1001
1000,654.0,0.00662045,1011
1010,654.0,0.006659731,1021
1020,654.0,0.006702745,1031
1030,654.0,0.006767872,1041
1040,654.0,0.006813911,1051
1050,654.0,0.006861306,1061
1060,654.0,0.006902038,1071
1070,654.0,0.006940825,1081
1080,654.0,0.00705883,1091
1090,654.0,0.00709917,1101
1100,654.0,0.007140648,1111
1110,654.0,0.007186647,1121
1120,654.0,0.007226304,1131
1130,656.0,0.007269061,1141
1140,656.0,0.007358172,1151
1150,658.0,0.007382135,1161
1160,658.0,0.007404737,1171
1170,660.0,0.007458258,1181
1180,664.0,0.007609305,1191
1190,666.0,0.007691554,1201
1200,666.0,0.007761031,1211
1210,666.0,0.007814035,1221
1220,666.0,0.007834822,1231
1230,670.0,0.007855901,1241
1240,670.0,0.007883026,1251
1250,670.0,0.00790323,1261
1260,674.0,0.007924728,1271
1270,674.0,0.007945656,1281
1280,676.0,0.007966217,1291
1290,680.0,0.007987813,1301
1300,680.0,0.008009091,1311
1310,680.0,0.008030198,1321
1320,680.0,0.008050889,1331
1330,680.0,0.008072278,1341
1340,680.0,0.008093734,1351
1350,684.0,0.008120276,1361
1360,684.0,0.008155106,1371
1370,684.0,0.008176647,1381
1380,684.0,0.00819716,1391
1390,686.0,0.008218638,1401
1400,686.0,0.008241325,1411
1410,686.0,0.008261193,1421
1420,689.0,0.008281794,1431
1430,689.0,0.008302253,1441
1440,691.0,0.008322697,1451
1450,691.0,0.008349915,1461
1460,691.0,0.008369869,1471
1470,693.0,0.008390451,1481
1480,695.0,0.008412077,1491
1490,699.0,0.00843245,1501
1500,699.0,0.008452957,1511
1510,703.0,0.008473352,1521
1520,703.0,0.008494389,1531
1530,703.0,0.008514758,1541
1540,703.0,0.008536017,1551
1550,703.0,0.008556005,1561
1560,703.0,0.008582731,1571
1570,703.0,0.00860563,1581
1580,703.0,0.008627503,1591
1590,703.0,0.008649127,1601
1600,703.0,0.008671188,1611
1610,703.0,0.008695374,1621
1620,703.0,0.00871574,1631
1630,703.0,0.008735926,1641
1640,703.0,0.00875616,1651
1650,703.0,0.008777274,1661
1660,703.0,0.008807701,1671
1670,703.0,0.008828142,1681
1680,705.0,0.008849912,1691
1690,707.0,0.008870884,1701
1700,709.0,0.008891288,1711
1710,709.0,0.008912281,1721
1720,709.0,0.008932808,1731
1730,709.0,0.008954703,1741
1740,711.0,0.008975358,1751
1750,711.0,0.008996285,1761
1760,711.0,0.009016856,1771
1770,711.0,0.009043837,1781
1780,711.0,0.009063852,1791
1790,711.0,0.009711996,1801
1800,713.0,0.009736196,1811
