iterations,fitness,time,fevals
0,553.0,10.181286919,1000
10,568.0,20.286677281,2100
20,579.0,30.150003395,3200
30,605.0,39.842682945,4300
40,637.0,49.17087924,5400
50,646.0,59.15979104,6500
60,667.0,68.512190515,7600
70,680.0,78.257147045,8700
80,710.0,87.388938737,9800
90,714.0,95.846723807,10900
100,732.0,104.554225034,12000
110,743.0,113.129456417,13100
120,747.0,121.967814462,14200
130,744.0,130.854384632,15300
140,763.0,139.73004323,16400
150,765.0,148.457145811,17500
160,773.0,157.09833846,18600
170,773.0,165.742547538,19700
180,759.0,174.154707494,20800
190,763.0,183.023038149,21900
200,763.0,191.676595447,23000
210,759.0,200.381576658,24100
220,783.0,208.948435416,25200
230,773.0,217.692762361,26300
240,775.0,226.329761968,27400
250,779.0,235.055463761,28500
260,769.0,243.509714054,29600
270,791.0,252.355556657,30700
280,775.0,260.830810365,31800
290,787.0,269.497592408,32900
300,781.0,277.315791031,34000
310,779.0,285.286573666,35100
320,785.0,293.333600752,36200
330,787.0,301.161928819,37300
340,801.0,309.155543021,38400
350,787.0,317.223339812,39500
360,786.0,325.186207794,40600
370,789.0,333.099503103,41700
380,791.0,341.020544396,42800
390,795.0,349.434886643,43900
400,793.0,357.869844218,45000
410,791.0,366.195345807,46100
420,799.0,374.738222385,47200
430,797.0,382.51067798,48300
440,803.0,390.429481506,49400
450,785.0,398.313064024,50500
460,795.0,406.088846904,51600
470,783.0,414.199139726,52700
480,791.0,422.164495607,53800
490,799.0,430.165292834,54900
500,793.0,437.982057252,56000
510,797.0,445.940556619,57100
520,807.0,453.834317752,58200
530,792.0,462.328048397,59300
540,795.0,471.293871236,60400
550,799.0,479.648479873,61500
560,807.0,487.696993203,62600
570,797.0,495.65357854,63700
580,795.0,504.408384841,64800
590,783.0,512.793976177,65900
600,799.0,521.227362704,67000
610,791.0,529.239491202,68100
620,803.0,538.309710828,69200
630,795.0,546.821214694,70300
640,793.0,554.966137888,71400
650,797.0,563.744302333,72500
660,799.0,572.272991318,73600
670,793.0,580.166137327,74700
680,787.0,588.019722566,75800
690,785.0,595.907521954,76900
700,791.0,603.922678197,78000
710,791.0,611.886510789,79100
720,795.0,619.979469862,80200
730,805.0,627.865024034,81300
740,797.0,636.007021539,82400
750,794.0,644.973477465,83500
760,797.0,653.522092935,84600
770,791.0,661.726378265,85700
780,789.0,670.696164654,86800
790,809.0,679.309974549,87900
800,793.0,687.187591268,89000
810,795.0,695.128352837,90100
820,803.0,703.097950239,91200
830,795.0,711.001637849,92300
840,795.0,718.87508355,93400
850,795.0,726.731892035,94500
860,787.0,734.721517217,95600
870,785.0,742.831588863,96700
880,785.0,750.699942188,97800
890,793.0,759.042075279,98900
900,787.0,767.61447059,100000
910,787.0,776.576532293,101100
920,795.0,785.283434893,102200
930,787.0,794.176500141,103300
940,793.0,802.514785499,104400
950,797.0,811.145421505,105500
960,799.0,819.173858474,106600
970,807.0,827.230657527,107700
980,793.0,836.132849662,108800
990,805.0,844.670706057,109900
1000,799.0,852.720741944,111000
1010,795.0,860.564513983,112100
1020,801.0,869.251988894,113200
1030,801.0,877.226860368,114300
1040,801.0,886.124518267,115400
1050,793.0,894.142359322,116500
1060,809.0,902.047701074,117600
1070,805.0,910.134026338,118700
1080,811.0,918.025914771,119800
1090,819.0,925.802275291,120900
1100,803.0,933.841300425,122000
1110,811.0,941.740331693,123100
1120,805.0,949.599572647,124200
1130,803.0,957.52986423,125300
1140,807.0,965.602784257,126400
1150,811.0,974.331400385,127500
1160,811.0,982.902873211,128600
1170,815.0,991.535480215,129700
1180,821.0,1000.24046569,130800
1190,811.0,1008.74063487,131900
1200,805.0,1017.12558456,133000
1210,805.0,1025.46986854,134100
1220,801.0,1033.59287709,135200
1230,807.0,1041.67533613,136300
1240,821.0,1050.63410835,137400
1250,807.0,1059.43730817,138500
1260,805.0,1068.53702869,139600
1270,805.0,1076.80633457,140700
1280,809.0,1085.880142,141800
1290,815.0,1094.78219877,142900
1300,807.0,1103.81773478,144000
1310,805.0,1111.88464465,145100
1320,815.0,1120.51867549,146200
1330,799.0,1129.30401143,147300
1340,805.0,1138.14120368,148400
1350,815.0,1146.71601568,149500
1360,803.0,1155.23550701,150600
