iterations,fitness,time,fevals
0,530.0,0.005944204,719
10,544.0,0.009630969,1346
20,561.0,0.012561118,1991
30,553.0,0.015313518,2606
40,555.0,0.018806368,3244
50,546.0,0.021883886,3884
60,560.0,0.024333429,4515
70,552.0,0.028109086,5147
80,563.0,0.032676831,5778
90,559.0,0.037098023,6405
100,567.0,0.040380219,7024
110,565.0,0.042577715,7657
120,567.0,0.044798012,8291
130,567.0,0.0483007,8932
140,573.0,0.050632497,9551
150,579.0,0.052688099,10179
160,579.0,0.055027725,10809
170,580.0,0.057060245,11423
180,572.0,0.059030915,12067
190,574.0,0.061167164,12705
200,572.0,0.064149738,13331
210,569.0,0.068781198,13969
220,570.0,0.073175539,14608
230,568.0,0.076056157,15234
240,574.0,0.078680418,15867
250,576.0,0.080834478,16493
260,572.0,0.082698962,17128
270,580.0,0.084810479,17768
280,576.0,0.086661315,18399
290,574.0,0.088501532,19026
300,580.0,0.09037153,19658
310,574.0,0.092297453,20295
320,576.0,0.094922469,20920
330,578.0,0.098710318,21539
340,579.0,0.107180698,22163
350,578.0,0.109222094,22802
360,578.0,0.111056785,23432
370,580.0,0.11292012,24080
380,584.0,0.114801822,24702
390,586.0,0.116720691,25337
400,586.0,0.118669281,25959
410,588.0,0.120522597,26593
420,584.0,0.122743095,27219
430,582.0,0.127064143,27848
440,582.0,0.130954865,28478
450,584.0,0.134839132,29110
460,580.0,0.13666623,29745
470,580.0,0.138611506,30367
480,578.0,0.140630991,31010
490,578.0,0.142481719,31635
500,576.0,0.144323079,32267
510,576.0,0.146129153,32912
520,580.0,0.148039122,33544
530,576.0,0.150543246,34174
540,582.0,0.154266611,34802
550,576.0,0.15629131,35433
560,576.0,0.158449636,36065
570,574.0,0.161700923,36693
580,578.0,0.163645357,37313
590,578.0,0.16553719,37954
600,578.0,0.167475633,38579
610,582.0,0.174184343,39221
620,578.0,0.17600023,39846
630,582.0,0.178023688,40470
640,578.0,0.179837455,41107
650,580.0,0.181739305,41738
660,576.0,0.183709751,42361
670,578.0,0.185715853,42978
680,580.0,0.188500402,43593
690,582.0,0.190518022,44222
700,580.0,0.19235433,44838
710,584.0,0.194202037,45468
720,584.0,0.196331346,46095
730,586.0,0.199860067,46723
740,582.0,0.202417634,47346
750,580.0,0.204206657,47965
760,580.0,0.206052372,48584
770,576.0,0.207864877,49213
780,576.0,0.209697705,49860
790,580.0,0.211634655,50495
800,582.0,0.213988944,51112
810,580.0,0.216722632,51747
820,578.0,0.218579154,52383
830,576.0,0.220435067,53012
840,576.0,0.222255228,53636
850,580.0,0.224227625,54266
860,580.0,0.226130438,54882
870,584.0,0.233334221,55514
880,580.0,0.23536906,56141
890,586.0,0.237296486,56779
900,576.0,0.239240592,57418
910,580.0,0.241442605,58040
920,578.0,0.244192483,58648
930,578.0,0.2461284,59283
940,578.0,0.247945904,59926
950,576.0,0.249794568,60550
960,580.0,0.251864675,61185
970,578.0,0.253736819,61818
980,578.0,0.255665491,62455
990,578.0,0.258188162,63083
1000,580.0,0.260423858,63722
1010,584.0,0.262687256,64351
1020,580.0,0.264588858,64986
1030,580.0,0.266424749,65622
1040,576.0,0.268578252,66256
1050,576.0,0.270974134,66905
1060,576.0,0.273300119,67531
1070,574.0,0.275093373,68169
1080,574.0,0.276897218,68795
1090,576.0,0.278816422,69430
1100,570.0,0.280645093,70056
1110,572.0,0.282449162,70693
1120,572.0,0.284320364,71320
1130,574.0,0.286339403,71951
1140,578.0,0.291902779,72585
1150,576.0,0.294008695,73219
1160,572.0,0.296166907,73839
1170,568.0,0.298795013,74477
