iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.113615713116,0.115070610667,0.109773640476,0.591567183134,0.593908629442,0.622274881517,0.001728931
10,0.133227884796,0.135241102578,0.127317647903,0.526289052578,0.519796954315,0.560663507109,0.022472202
20,0.129234757439,0.130310995138,0.1236269233,0.541021082042,0.553299492386,0.572985781991,0.042103233
30,0.131350048109,0.132483107492,0.125904677407,0.540259080518,0.542131979695,0.562559241706,0.060921792
40,0.128019144116,0.129253812684,0.123030127634,0.544323088646,0.548223350254,0.570142180095,0.078549402
50,0.131258982564,0.132818160883,0.125855816134,0.544323088646,0.537055837563,0.567298578199,0.095263344
60,0.133140189306,0.134052237475,0.127361382346,0.537719075438,0.542131979695,0.564454976303,0.113401782
70,0.132056409017,0.133397535999,0.126384254864,0.54000508001,0.545177664975,0.568246445498,0.133578068
80,0.129307997305,0.131277374656,0.124027275758,0.548387096774,0.546192893401,0.57345971564,0.152815315
90,0.129694673101,0.131506718948,0.124644786873,0.544831089662,0.539086294416,0.563033175355,0.171620516
100,0.124872803179,0.126777169096,0.120335343644,0.56921513843,0.570558375635,0.588625592417,0.195071128
110,0.122375650191,0.124224694804,0.117673413009,0.578867157734,0.575634517766,0.601421800948,0.218206055
120,0.12143028963,0.123398256954,0.117086473539,0.580137160274,0.586802030457,0.601421800948,0.238396636
130,0.120206328331,0.122377779501,0.115602515419,0.589027178054,0.589847715736,0.610426540284,0.259861001
140,0.116352632941,0.118889995583,0.112034608493,0.608077216154,0.615228426396,0.627014218009,0.283308477
150,0.11540959108,0.117687965101,0.111492433606,0.61620523241,0.617258883249,0.631279620853,0.303143655
160,0.11225703873,0.114924453516,0.109028265488,0.626365252731,0.630456852792,0.640758293839,0.323342284
170,0.11116891218,0.113341682966,0.107684644403,0.634239268479,0.632487309645,0.645971563981,0.341619591
180,0.0974376930386,0.100014059683,0.0943320190084,0.723393446787,0.69847715736,0.724170616114,0.359306696
190,0.0974273898083,0.100148863461,0.0945320075069,0.721869443739,0.693401015228,0.720853080569,0.382585012
200,0.0929216973507,0.0947218285052,0.0904947448557,0.731267462535,0.709644670051,0.734123222749,0.412629276
210,0.0918953987598,0.0943865635213,0.0895480146016,0.734569469139,0.704568527919,0.739336492891,0.440021376
220,0.0913713709832,0.0945197244229,0.0892709408619,0.739395478791,0.705583756345,0.741706161137,0.468725777
230,0.089652180736,0.0923098943391,0.0874498711932,0.745491490983,0.724873096447,0.745023696682,0.498480358
240,0.0890053026937,0.0919555405269,0.0869331756139,0.749555499111,0.724873096447,0.749763033175,0.524859298
250,0.087983709248,0.091150970491,0.0860709910984,0.752603505207,0.725888324873,0.750710900474,0.554819585
260,0.0876183145161,0.090897096288,0.0857870516291,0.754381508763,0.725888324873,0.750710900474,0.580996036
270,0.0858720330037,0.0892966801992,0.0841013806683,0.758191516383,0.72385786802,0.754028436019,0.606536523
280,0.0843527078175,0.0875265118159,0.0828368610878,0.762001524003,0.743147208122,0.761137440758,0.631625068
290,0.083308875464,0.0865589091989,0.0818080322963,0.767335534671,0.740101522843,0.761611374408,0.653634981
300,0.0829933038022,0.0864456197954,0.081652393065,0.769875539751,0.743147208122,0.76682464455,0.682040904
310,0.0829449094817,0.0862897558541,0.0817643375788,0.769875539751,0.742131979695,0.757345971564,0.711253524
320,0.0799662978662,0.0834280361319,0.0796097017354,0.776733553467,0.759390862944,0.76682464455,0.739275824
330,0.0795032824375,0.0829504114152,0.079410016394,0.778003556007,0.756345177665,0.76682464455,0.770639006
340,0.0792389789203,0.0830747297844,0.0797884703601,0.775209550419,0.756345177665,0.763981042654,0.792137758
350,0.0790699765431,0.0825491660105,0.0789975743703,0.782575565151,0.768527918782,0.768246445498,0.812674477
360,0.0786106925219,0.0822941340497,0.0785231486597,0.781051562103,0.767512690355,0.772511848341,0.833576449
370,0.0782748731815,0.0819216493565,0.0783830029793,0.781305562611,0.770558375635,0.771090047393,0.852030752
380,0.0767119178375,0.0802672445889,0.0767099206916,0.782829565659,0.772588832487,0.776303317536,0.869470384
390,0.0767607721679,0.0801713300551,0.0767404314276,0.781813563627,0.77461928934,0.777725118483,0.89049876
400,0.0765458429955,0.0801685103911,0.0766126767671,0.784099568199,0.77461928934,0.778199052133,0.909435464
410,0.0755246976646,0.0787295963047,0.0761888818246,0.789179578359,0.768527918782,0.775829383886,0.931727765
420,0.0749820288217,0.0784110117986,0.0757370914594,0.790449580899,0.770558375635,0.776777251185,0.952575257
430,0.0752062182555,0.0787174566005,0.0762779514299,0.792227584455,0.771573604061,0.776303317536,0.97885305
440,0.0747085461304,0.0785256515849,0.0762054107085,0.792227584455,0.773604060914,0.775829383886,1.012212784
450,0.0733751805139,0.0775612442892,0.0760700155391,0.793751587503,0.775634517766,0.774881516588,1.04288905
460,0.0731807193885,0.0776496425682,0.0761441378303,0.795275590551,0.773604060914,0.778199052133,1.062066452
470,0.0730975056112,0.077567010197,0.0764666590834,0.796545593091,0.777664974619,0.777251184834,1.08250103
480,0.0729014293441,0.0775394087314,0.0765981550141,0.795529591059,0.768527918782,0.775355450237,1.101291473
490,0.0723468869664,0.0770301959997,0.0759031592453,0.794767589535,0.766497461929,0.775355450237,1.122669242
500,0.0720892988235,0.0766623867701,0.0754394924203,0.796799593599,0.76345177665,0.776303317536,1.140110221
510,0.072427809481,0.0770326183105,0.0759250251614,0.794513589027,0.769543147208,0.77345971564,1.161630638
520,0.0717512588357,0.0759950174945,0.0755262867499,0.796545593091,0.777664974619,0.778199052133,1.180666225
530,0.0715548757269,0.0761132307175,0.0754804120803,0.798069596139,0.773604060914,0.780568720379,1.203496424
540,0.0712344356621,0.0758753091887,0.0752779144456,0.795021590043,0.772588832487,0.779146919431,1.235056366
550,0.0709972431899,0.0756838111581,0.0750844086099,0.798831597663,0.772588832487,0.777251184834,1.261303296
560,0.0708857962888,0.0755291235132,0.0747795837953,0.798577597155,0.776649746193,0.779146919431,1.284980381
570,0.0706882020459,0.0757628583782,0.0745816479714,0.798323596647,0.775634517766,0.777725118483,1.304988344
580,0.0703721989087,0.0754337151527,0.0743249885515,0.798577597155,0.778680203046,0.777251184834,1.327726211
590,0.0701229900607,0.0754960370127,0.0743195792984,0.800863601727,0.777664974619,0.776777251185,1.347853093
600,0.0700912091273,0.0752931954077,0.0741691595926,0.799593599187,0.779695431472,0.777251184834,1.367714862
610,0.0698629120387,0.0750344108795,0.0739872618844,0.801625603251,0.784771573604,0.778199052133,1.384547632
620,0.0696502634616,0.0747950885726,0.0739672513105,0.803149606299,0.78578680203,0.777251184834,1.402807453
