iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.0981392241286,0.103896549139,0.0987864550325,0.687833375667,0.665989847716,0.685308056872,0.0631117299999
10,0.0929075572865,0.0961002989329,0.0957704984372,0.720599441199,0.696446700508,0.697630331754,0.600538723002
20,0.113249873605,0.11275289834,0.113528830237,0.61747523495,0.628426395939,0.609004739336,1.125340435
30,0.109122373282,0.109489653559,0.109228613237,0.654813309627,0.641624365482,0.654976303318,1.628312366
40,0.0969467576705,0.0953330830752,0.0970648328361,0.708153416307,0.714720812183,0.702843601896,2.145369891
50,0.096128845189,0.095979901538,0.0944906929286,0.734061468123,0.728934010152,0.732227488152,2.679847427
60,0.0911188242262,0.0907158090293,0.0900128620284,0.735585471171,0.728934010152,0.736966824645,3.227515717
70,0.0943088020713,0.0929580048976,0.0949044191428,0.734315468631,0.734010152284,0.734123222749,3.75590894
80,0.104836289072,0.101846567871,0.10569105486,0.688087376175,0.696446700508,0.683886255924,4.278322531
90,0.0844418698442,0.0831126623871,0.08544375368,0.746761493523,0.746192893401,0.740758293839,4.829135341
100,0.0861037576173,0.0889265013594,0.0897305532957,0.752603505207,0.731979695431,0.731279620853,5.340390181
110,0.0810584870463,0.0837386330796,0.0829677507944,0.768605537211,0.756345177665,0.75355450237,5.843630971
120,0.0917394849984,0.0929718377421,0.0951058624622,0.723393446787,0.720812182741,0.700947867299,6.351077656
130,0.0893080670596,0.0901503471659,0.0934145052237,0.731775463551,0.719796954315,0.719431279621,6.876315954
140,0.0823191855367,0.0864406542568,0.0835840199567,0.762763525527,0.741116751269,0.752132701422,7.42215395
150,0.0807114686856,0.0835676448594,0.0844511196019,0.766065532131,0.748223350254,0.742180094787,7.972017979
160,0.0857035958991,0.0878707407017,0.0890930963104,0.749047498095,0.739086294416,0.742180094787,8.516875557
170,0.0826283576572,0.0851657544322,0.0872814642004,0.754127508255,0.741116751269,0.74028436019,9.060807585
180,0.0763005771436,0.0796535036988,0.0798308959617,0.775209550419,0.753299492386,0.761611374408,9.588539853
190,0.081746066853,0.085041942937,0.083906522595,0.758445516891,0.747208121827,0.751184834123,10.115914915
200,0.084373312807,0.0883883122653,0.087916184613,0.752603505207,0.734010152284,0.74028436019,10.641368729
210,0.0825947997812,0.0851706380943,0.0850270060981,0.758953517907,0.752284263959,0.754502369668,11.170135061
220,0.0839689281221,0.0864785840062,0.0857742102379,0.753111506223,0.748223350254,0.75355450237,11.681485245
230,0.0772925065472,0.0809558903135,0.0813677392026,0.777495554991,0.762436548223,0.767772511848,12.215409413
240,0.0862295545488,0.0891030107265,0.0874595653359,0.750063500127,0.732994923858,0.745497630332,12.763162075
250,0.0813482680758,0.0856245819052,0.0846691817983,0.776225552451,0.754314720812,0.762559241706,13.265569911
260,0.0835149866881,0.0869950628692,0.0862497014022,0.762255524511,0.742131979695,0.749763033175,13.779148852
270,0.0801598771179,0.0831532086222,0.0831830153579,0.766573533147,0.751269035533,0.760663507109,14.291622776
280,0.0815626036267,0.0823104794787,0.085023214646,0.768859537719,0.772588832487,0.758767772512,14.825443631
290,0.0811127695641,0.0842507379752,0.0848763905564,0.770891541783,0.755329949239,0.754976303318,15.351860508
300,0.0841969759261,0.0867308450975,0.0859969660754,0.744729489459,0.741116751269,0.736966824645,15.894134179
310,0.0812902286709,0.0834963334657,0.0845885856463,0.771399542799,0.764467005076,0.764454976303,16.426709127
320,0.0795261765472,0.0809188114725,0.0826863324918,0.779019558039,0.768527918782,0.775355450237,16.957404837
330,0.0817326730244,0.0843971999239,0.0854623764389,0.763779527559,0.759390862944,0.757345971564,17.499576835
340,0.0822588183975,0.0831245033095,0.0830406635945,0.762255524511,0.764467005076,0.763981042654,18.044906978
350,0.0805705464736,0.082291479748,0.0836388653202,0.767081534163,0.758375634518,0.762085308057,18.56725683
360,0.0808673276295,0.0820541811862,0.0822478113465,0.769875539751,0.767512690355,0.765402843602,19.109442526
370,0.081057904833,0.0834291116613,0.0828795141319,0.760223520447,0.76345177665,0.758767772512,19.629553229
380,0.0866188933203,0.0879832225329,0.0868157747384,0.742697485395,0.732994923858,0.736966824645,20.155931614
390,0.0846039224156,0.0844993889725,0.0867438154514,0.756159512319,0.765482233503,0.750710900474,20.707833997
400,0.0807652099346,0.084048712511,0.0820992515936,0.771399542799,0.756345177665,0.764454976303,21.279012874
410,0.0803136302293,0.0828615388029,0.0833794520496,0.764033528067,0.757360406091,0.762559241706,21.836891368
420,0.0795067578497,0.0829040634453,0.0829281073766,0.765049530099,0.751269035533,0.756872037915,22.392157375
430,0.0751484705368,0.0804524822873,0.0791281259193,0.777241554483,0.754314720812,0.76682464455,22.941750578
440,0.0756654710234,0.0802465395839,0.0784131285583,0.778003556007,0.758375634518,0.768720379147,23.507915622
450,0.0802217810134,0.0836579540004,0.0828114692924,0.762763525527,0.765482233503,0.762085308057,24.034439748
460,0.0748970655814,0.0809484341161,0.0790981191218,0.783845567691,0.758375634518,0.776303317536,24.577677037
470,0.076924163551,0.0820575422014,0.0813816347108,0.773939547879,0.74923857868,0.76018957346,25.078887449
480,0.0754962489875,0.0810974508025,0.0795157323509,0.776733553467,0.757360406091,0.76682464455,25.610352302
490,0.0769828802149,0.0821580756465,0.0813439212661,0.768859537719,0.755329949239,0.761611374408,26.153489013
500,0.0766476779445,0.0821642691677,0.082021283158,0.775717551435,0.757360406091,0.772511848341,26.671056979
510,0.0789673176188,0.082761275656,0.082861973122,0.768859537719,0.755329949239,0.763033175355,27.210876061
520,0.0780767838455,0.0812133824994,0.0837495400487,0.773685547371,0.760406091371,0.758293838863,27.747538494
530,0.0765312946472,0.0812675094481,0.0816345006788,0.774701549403,0.753299492386,0.760663507109,28.282630549
540,0.0800268902425,0.0860798800284,0.0843884261962,0.770129540259,0.737055837563,0.760663507109,28.81548492
550,0.076388592538,0.0805832341792,0.0812923979718,0.775717551435,0.761421319797,0.763981042654,29.320042442
560,0.0760760968587,0.0795931937445,0.0814254664039,0.779781559563,0.753299492386,0.764454976303,29.85173821
570,0.0764575287045,0.0798136218253,0.0820597852034,0.778003556007,0.756345177665,0.764928909953,30.365189909
580,0.0813441263767,0.0858367928663,0.0879330499064,0.766827533655,0.739086294416,0.738862559242,30.873877811
590,0.0762836907476,0.0803610193816,0.0812453786354,0.780797561595,0.755329949239,0.770616113744,31.395901956
600,0.0769815381444,0.0803725504748,0.0820585409789,0.776733553467,0.755329949239,0.765402843602,31.911925749
610,0.0773021569704,0.0811538987276,0.0832128466696,0.767843535687,0.750253807107,0.765402843602,32.423360258
620,0.080021553933,0.085973835337,0.0864076223217,0.779527559055,0.760406091371,0.770616113744,32.97328093
630,0.0812778580678,0.0860890957294,0.0879211937191,0.775209550419,0.762436548223,0.764454976303,33.501386989
640,0.0768863146853,0.0812287403128,0.0824667876573,0.779273558547,0.757360406091,0.767298578199,34.007955078
650,0.0853690351065,0.0883595175239,0.0892824158329,0.760223520447,0.739086294416,0.757819905213,34.540860633
660,0.0786732494834,0.0826511708158,0.0848086011232,0.774193548387,0.757360406091,0.7663507109,35.068583884
670,0.0778372897032,0.0829047805121,0.0837497331527,0.774955549911,0.755329949239,0.768246445498,35.600617466
680,0.0763842710451,0.0812389078733,0.0814480990271,0.777495554991,0.757360406091,0.77345971564,36.122336845
690,0.0763205937896,0.0799714258348,0.0811301040894,0.774955549911,0.755329949239,0.767298578199,36.648084512
700,0.0779904371406,0.0828866382052,0.0840829760209,0.773431546863,0.746192893401,0.763981042654,37.186510318
710,0.0861499087284,0.0956348006454,0.0930334791289,0.763017526035,0.736040609137,0.748341232227,37.763294672
720,0.0783811813023,0.0835922400596,0.0835180550182,0.772669545339,0.739086294416,0.767298578199,38.30161206
730,0.0812956606909,0.0867301682164,0.0862083166372,0.759461518923,0.728934010152,0.752606635071,38.821842134
740,0.0791023755677,0.0843237207072,0.0845421199999,0.776225552451,0.735025380711,0.768720379147,39.383042366
750,0.0786629941679,0.0844138924064,0.0831165417509,0.767081534163,0.736040609137,0.756872037915,40.059109865
760,0.0768687867557,0.0827781102486,0.082490214995,0.779781559563,0.747208121827,0.768720379147,40.554267393
770,0.0800914035542,0.0856291112873,0.0855704513931,0.773177546355,0.747208121827,0.7663507109,41.144194583
780,0.0786280018753,0.0845340050688,0.0838223253607,0.768351536703,0.746192893401,0.759241706161,41.693682162
790,0.079059302701,0.0844532044364,0.0837316683734,0.764541529083,0.747208121827,0.764454976303,42.307230086
800,0.0777482586046,0.0824423836238,0.0824342519759,0.776225552451,0.751269035533,0.770142180095,42.841173297
810,0.077659208014,0.0829660903509,0.0821881849152,0.780035560071,0.752284263959,0.772037914692,43.364095216
820,0.080341564014,0.0860604523199,0.0835948544532,0.777241554483,0.744162436548,0.764928909953,43.879627311
830,0.0794670080267,0.0832026021406,0.0819500612126,0.767843535687,0.752284263959,0.765876777251,44.407221142
840,0.0760727814388,0.0808774097847,0.0789944138397,0.785115570231,0.759390862944,0.776777251185,44.930921856
850,0.0787844658035,0.0828184598508,0.0807590520933,0.772669545339,0.751269035533,0.769194312796,45.45939329
860,0.0771487508906,0.0803631223506,0.0808171608119,0.773431546863,0.758375634518,0.763033175355,46.00217013
870,0.0779601786448,0.0828379175219,0.0806345604437,0.774447548895,0.756345177665,0.781042654028,46.553224766
880,0.0765057743109,0.0811488915689,0.0793536926603,0.782067564135,0.759390862944,0.774881516588,47.100025668
890,0.079639190735,0.0838436085088,0.0829804484251,0.774955549911,0.753299492386,0.776777251185,47.682779945
900,0.0793133396195,0.0833082294965,0.0827963050939,0.769367538735,0.754314720812,0.770142180095,48.237731413
910,0.0831660914794,0.0856355246655,0.085471234823,0.761239522479,0.74923857868,0.762085308057,48.800566766
920,0.0777985596937,0.079990426691,0.0800196008393,0.779781559563,0.772588832487,0.784360189573,49.320907952
930,0.076873170489,0.0803737835987,0.0816835348626,0.773431546863,0.76345177665,0.772037914692,49.844822948
940,0.0816864825025,0.0856808651774,0.0850999053033,0.771653543307,0.753299492386,0.774881516588,50.368452849
950,0.0769218126827,0.0806588496596,0.0805764293003,0.778003556007,0.765482233503,0.778199052133,50.872805111
960,0.0775714465609,0.0815132298869,0.0810939275959,0.781305562611,0.768527918782,0.778199052133,51.394457917
970,0.0775801507097,0.0805037595032,0.0818448861987,0.772669545339,0.762436548223,0.770142180095,51.914166179
