iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.131020046934,0.134524086019,0.13048999941,0.54254508509,0.495431472081,0.534597156398,0.005588285
10,0.121650603418,0.124294417543,0.121535603755,0.585979171958,0.555329949239,0.589573459716,0.031992092
20,0.119881351477,0.122032629533,0.119522788465,0.59334518669,0.57461928934,0.594786729858,0.055760308
30,0.117842460136,0.119782959673,0.117223187935,0.606299212598,0.584771573604,0.611848341232,0.076157458
40,0.115573037822,0.11760288458,0.114841679424,0.610617221234,0.612182741117,0.622748815166,0.09959591
50,0.11373580728,0.115905749705,0.112781910876,0.621031242062,0.606091370558,0.630331753555,0.117859168
60,0.11244216509,0.11417334277,0.111639392586,0.633731267463,0.618274111675,0.631753554502,0.136616147
70,0.109084199025,0.111337433244,0.108298335379,0.641859283719,0.624365482234,0.65308056872,0.155161728
80,0.105600747377,0.108633320006,0.104851096977,0.656845313691,0.634517766497,0.66018957346,0.173130527
90,0.103972022847,0.107190935518,0.10360024862,0.673863347727,0.648730964467,0.674881516588,0.191724111
100,0.103924355262,0.106886231919,0.10352202262,0.676911353823,0.647715736041,0.678672985782,0.20984972
110,0.102568157593,0.105439751051,0.102126287719,0.683515367031,0.652791878173,0.684360189573,0.228129106
120,0.102423832614,0.105287628785,0.102038347553,0.682245364491,0.655837563452,0.677725118483,0.247930302
130,0.1023643491,0.105272050467,0.101970617932,0.683007366015,0.652791878173,0.678672985782,0.266522995
140,0.0975470497818,0.100255853992,0.0978127078848,0.699771399543,0.669035532995,0.69336492891,0.284326371
150,0.0970130184326,0.0997871384831,0.0970569415361,0.705359410719,0.67614213198,0.697630331754,0.302735881
160,0.0943702424252,0.0969690907559,0.0944331473922,0.720091440183,0.69847715736,0.715639810427,0.32285748
170,0.0939537376742,0.096468894933,0.0940131687401,0.719329438659,0.696446700508,0.71990521327,0.341249021
180,0.0938004125467,0.0963379982339,0.0938391066317,0.718059436119,0.700507614213,0.718009478673,0.361000921
